Link,Unnamed: 0,has_been_scraped,Question,Category,Outcomes,Outcomes.1,Prices,Prices.1,24h Volume,Total Volume,Liquidity,Open Interest,Trades,End Date,Resolved,Whales,LPs,Trades.1,Name,ID
https://polymarketwhales.info/transactions?market=0xa15965eb7cb303548822e11f99061bc333a59d2d&page=1,3166,1.0,"Will Claude Monet's “Au jardin, la famille de l’artiste” (Lot 41C) sell for more than $18m at Christie’s on November 11?",Art,Yes,No,1,0,$0,$553,20,$94,23,Thu Nov 11 2021,True,Whales,LPs,Trades,"Will Claude Monet's “Au jardin, la famille de l’artiste” (Lot 41C) sell for more than $18m at Christie’s on November 11?",0xa15965eb7cb303548822e11f99061bc333a59d2d
https://polymarketwhales.info/transactions?market=0x2edab41dbedf35219ff8a8ba74a6b2b268a79a7f&page=1,1968,,Will Daniil Dubov or Hikaru Nakamura win in their FTX Crypto Cup preliminary game?,Chess,Dubov,Nakamura,0.5,0.5,$0,"$4,108",24175,$0,24,Mon May 24 2021,True,Whales,LPs,Trades,Will Daniil Dubov or Hikaru Nakamura win in their FTX Crypto Cup preliminary game?,0x2edab41dbedf35219ff8a8ba74a6b2b268a79a7f
https://polymarketwhales.info/transactions?market=0x97ead89531c74bb9fa6132bb0bd4d075b9fd1c1b&page=1,2447,1.0,(In-Game Trading)Will the Hawks beat the Pistons by more than 10.5 points in their matchup on October 25th?,Sports,Yes,No,1,0,$0,"$2,101",0,"$1,331",24,Mon Oct 25 2021,True,Whales,LPs,Trades,(In-Game Trading)Will the Hawks beat the Pistons by more than 10.5 points in their matchup on October 25th?,0x97ead89531c74bb9fa6132bb0bd4d075b9fd1c1b
https://polymarketwhales.info/transactions?market=0x7d8f8e809da011fd9041d8bfd9af75a2ce633b34&page=1,2148,,Who will win UFC 267: Makhachev vs Hooker?,Sports,Makhachev,Hooker,1,0,$0,"$3,092",100,"$3,204",25,Sat Oct 30 2021,True,Whales,LPs,Trades,Who will win UFC 267: Makhachev vs Hooker?,0x7d8f8e809da011fd9041d8bfd9af75a2ce633b34
https://polymarketwhales.info/transactions?market=0x1fdd22cba75efbdc46ed79ead340ca50fbca9d3d&page=1,2697,1.0,NHL: Will the Hurricanes beat the Avalanche by more than 1.5 goals in their March 10 matchup (7 PM ET)?,Sports,Yes,No,1,0,$0,"$1,503",200,$0,25,Thu Mar 10 2022,True,Whales,LPs,Trades,NHL: Will the Hurricanes beat the Avalanche by more than 1.5 goals in their March 10 matchup (7 PM ET)?,0x1fdd22cba75efbdc46ed79ead340ca50fbca9d3d
https://polymarketwhales.info/transactions?market=0xd7cbb9076e75e11cd1e022ae10f1c3630451a52a&page=1,3290,1.0,Will the AAVE governance proposal AIP 22 pass?,Crypto,Yes,No,1,0,$0,$228,219,$1,27,Thu Jul 01 2021,True,Whales,LPs,Trades,Will the AAVE governance proposal AIP 22 pass?,0xd7cbb9076e75e11cd1e022ae10f1c3630451a52a
https://polymarketwhales.info/transactions?market=0xd3c580f40e13a8967adb4526e88a062bebe4fa9c&page=1,2955,1.0,Will 'Stay Close: Limited Series' be the #1 Netflix show worldwide on the week ending January 30?,Pop Culture,Yes,No,0,1,$0,$963,58,"$2,696",27,Wed Feb 02 2022,True,Whales,LPs,Trades,Will 'Stay Close: Limited Series' be the #1 Netflix show worldwide on the week ending January 30?,0xd3c580f40e13a8967adb4526e88a062bebe4fa9c
https://polymarketwhales.info/transactions?market=0x44febf097c697e11104698fa943140be5d80ff2b&page=1,1963,1.0,Will the majority of Germany’s starters kneel before the Euro 2020 match between Germany and France?,Sports,Yes,No,0,1,$0,"$4,137",2,$0,27,Tue Jun 15 2021,True,Whales,LPs,Trades,Will the majority of Germany’s starters kneel before the Euro 2020 match between Germany and France?,0x44febf097c697e11104698fa943140be5d80ff2b
https://polymarketwhales.info/transactions?market=0x7752ada3b2c1b97a554c1a0adc7b91cdb66c9b45&page=1,2019,,Will the Berlin Defense be played during the FTX Crypto Cup Finals between Magnus Carlsen and Wesley So?,Chess,Yes,No,1,0,$0,"$3,745",1,$5,27,Mon May 31 2021,True,Whales,LPs,Trades,Will the Berlin Defense be played during the FTX Crypto Cup Finals between Magnus Carlsen and Wesley So?,0x7752ada3b2c1b97a554c1a0adc7b91cdb66c9b45
https://polymarketwhales.info/transactions?market=0x8fcd7e9784345ff8b353d339627ad4f4e985dbc5&page=1,3076,1.0,Will Joe Biden's RCP job approval rating on January 21 be between 41.9% and 42.1%?,US current affairs,Yes,No,0,1,$0,$725,50,"$1,552",27,Sat Jan 22 2022,True,Whales,LPs,Trades,Will Joe Biden's RCP job approval rating on January 21 be between 41.9% and 42.1%?,0x8fcd7e9784345ff8b353d339627ad4f4e985dbc5
https://polymarketwhales.info/transactions?market=0x4b8d6523ae17215cc479a81924cf9269517dbe11&page=1,2949,,UFC 270: Who will win Stamann vs. Nurmagomedov?,Sports,Stamann,Nurmagomedov,0,1,$0,$983,71,$755,27,Sat Jan 22 2022,True,Whales,LPs,Trades,UFC 270: Who will win Stamann vs. Nurmagomedov?,0x4b8d6523ae17215cc479a81924cf9269517dbe11
https://polymarketwhales.info/transactions?market=0xfab0e73a68a1c90aef2f69577cb295b672014980&page=1,3189,1.0,Will PSG win the 2021-22 UEFA Champions League?,,Yes,No,0,1,$0,$520,0,$372,27,Sat May 28 2022,True,Whales,LPs,Trades,Will PSG win the 2021-22 UEFA Champions League?,0xfab0e73a68a1c90aef2f69577cb295b672014980
https://polymarketwhales.info/transactions?market=0xf7cd6e38dfb890c30d5850f76bf8e8b3d8439f40&page=1,2844,1.0,NBA: Will the sum of points in 76ers v Lakers be an even or an odd number?,Sports,Even,Odd,1,0,$0,"$1,201",300,$0,28,Thu Jan 27 2022,True,Whales,LPs,Trades,NBA: Will the sum of points in 76ers v Lakers be an even or an odd number?,0xf7cd6e38dfb890c30d5850f76bf8e8b3d8439f40
https://polymarketwhales.info/transactions?market=0x5b833ea9e9719df56bca3616d5605a23b7c22006&page=1,2813,1.0,Will the U-3 unemployment rate in January be above 4.0%?,Business,Yes,No,0,1,$0,"$1,255",50,$574,28,Fri Feb 04 2022,True,Whales,LPs,Trades,Will the U-3 unemployment rate in January be above 4.0%?,0x5b833ea9e9719df56bca3616d5605a23b7c22006
https://polymarketwhales.info/transactions?market=0xb836f75d458675029b8461f71d65dd0fc0d6f0d3&page=1,3036,1.0,NBA: Will the sum of points in Celtics v. 76ers be an even or an odd number?,Sports,Even,Odd,0,1,$0,$826,10,$137,28,Wed Dec 01 2021,True,Whales,LPs,Trades,NBA: Will the sum of points in Celtics v. 76ers be an even or an odd number?,0xb836f75d458675029b8461f71d65dd0fc0d6f0d3
https://polymarketwhales.info/transactions?market=0xeea288cdf0ad16fa86ebf767065b8133a14c5ac7&page=1,2859,1.0,"Will the 7-day COVID-19 Case average in the USA be above 200,000 on February 1, 2022?",Coronavirus,Yes,No,1,0,$0,"$1,186",50,"$4,079",28,Tue Feb 08 2022,True,Whales,LPs,Trades,"Will the 7-day COVID-19 Case average in the USA be above 200,000 on February 1, 2022?",0xeea288cdf0ad16fa86ebf767065b8133a14c5ac7
https://polymarketwhales.info/transactions?market=0x70f9041d1850964378f72a4ecba6fa2960182eca&page=1,2726,1.0,UEFA Champions League: Which group B team will qualify to the knockout phase?,Sports,AtleticoPortoAC Milan,AtleticoPortoAC Milan,1.00000.00000.0000,1.00000.00000.0000,$0,"$1,428",55,"$2,230",28,Tue Dec 07 2021,True,Whales,LPs,Trades,UEFA Champions League: Which group B team will qualify to the knockout phase?,0x70f9041d1850964378f72a4ecba6fa2960182eca
https://polymarketwhales.info/transactions?market=0xe9e4b20833de8501b743b3dbfca9ea61f5ad7da0&page=1,3287,1.0,How much will “Scream” (2022) gross domestically on opening weekend?,Pop Culture,Long,Short,0.6008,0.3992,$0,$248,50,"$2,566",28,Mon Jan 17 2022,True,Whales,LPs,Trades,How much will “Scream” (2022) gross domestically on opening weekend?,0xe9e4b20833de8501b743b3dbfca9ea61f5ad7da0
https://polymarketwhales.info/transactions?market=0x4491becdbb23d61bd567e95b4a353072f8a234bc&page=1,2579,,"Will 'Envolver' by Anitta be the #1 song on the Spotify Global Charts by April 14, 2022?",Pop Culture,Yes,No,1,0,$0,"$1,750",200,"$1,637",29,Fri Apr 15 2022,True,Whales,LPs,Trades,"Will 'Envolver' by Anitta be the #1 song on the Spotify Global Charts by April 14, 2022?",0x4491becdbb23d61bd567e95b4a353072f8a234bc
https://polymarketwhales.info/transactions?market=0x471acb2b61f54d84f7bac7048e359cb71a664b53&page=1,1654,,What will the Manheim Used Vehicle Value Index be for July 2021?,Business,Long,Short,0.6457,0.3543,$0,"$6,503",2361,"$5,771",29,Fri Aug 06 2021,True,Whales,LPs,Trades,What will the Manheim Used Vehicle Value Index be for July 2021?,0x471acb2b61f54d84f7bac7048e359cb71a664b53
https://polymarketwhales.info/transactions?market=0xc33cb94861d63c47fdab2419f82ba54aff667540&page=1,2988,1.0,Will Russia or Denmark win their Euro 2020 match?,Sports,Russia,Denmark,0,1,$0,$901,99,$0,29,Mon Jun 21 2021,True,Whales,LPs,Trades,Will Russia or Denmark win their Euro 2020 match?,0xc33cb94861d63c47fdab2419f82ba54aff667540
https://polymarketwhales.info/transactions?market=0xb728577b21cee3159cec7a98f2922443ec68b27d&page=1,3282,1.0,"NHL: Will the Rangers beat the Flyers by more than 1,5 goals in their April 13 matchup (7 PM ET)?",Sports,Yes,No,1,0,$0,$265,150,"$2,583",29,Wed Apr 13 2022,True,Whales,LPs,Trades,"NHL: Will the Rangers beat the Flyers by more than 1,5 goals in their April 13 matchup (7 PM ET)?",0xb728577b21cee3159cec7a98f2922443ec68b27d
https://polymarketwhales.info/transactions?market=0x46bb1871a2eb512144ea69f25207347dfc9ea34e&page=1,3211,1.0,Will Willem do Kooning's “Untitled VII” (Lot 40C) sell for more than $12m at Christie’s on November 11?,Art,Yes,No,1,0,$0,$467,20,$0,29,Thu Nov 11 2021,True,Whales,LPs,Trades,Will Willem do Kooning's “Untitled VII” (Lot 40C) sell for more than $12m at Christie’s on November 11?,0x46bb1871a2eb512144ea69f25207347dfc9ea34e
https://polymarketwhales.info/transactions?market=0xb8246ae35fe2ebfd846f9eb87b92f6075ac9beca&page=1,3259,1.0,Will the U.S. annual inflation on January 2022 exceed 6.8%?,Business,Yes,No,1,0,$0,$347,333,"$8,752",29,Thu Feb 10 2022,True,Whales,LPs,Trades,Will the U.S. annual inflation on January 2022 exceed 6.8%?,0xb8246ae35fe2ebfd846f9eb87b92f6075ac9beca
